matern32,,,,SquaredExp,,,,RationalQuad,,,,Matern52,,,,Gamma,,,,Ensemble,,,
Evaluation , Proposed point ,  Current eval. , Best eval.,Evaluation , Proposed point ,  Current eval. , Best eval.,Evaluation , Proposed point ,  Current eval. , Best eval.,Evaluation , Proposed point ,  Current eval. , Best eval.,Evaluation , Proposed point ,  Current eval. , Best eval.,Evaluation , Proposed point ,  Current eval. , Best eval.
34, [ 0.20614826  0.20797387]. ,1.22003210069,1.22003246621,34, [ 0.53094373  0.56531399]. ,0.261885454473,1.16776151885,34, [ 0.19783051  0.2396638 ]. ,1.20405492535,1.21783919921,34, [ 0.50169917  0.72546817]. ,0.0419440182063,1.22002950114,34, [ 0.1356698   0.21055238]. ,1.15045380677,1.21988776397,34, [ 0.2040948   0.19935506]. ,1.21888500472,1.21995751344
35, [ 0.20614829  0.20797351]. ,1.22003209969,1.22003246621,35, [ 0.79790276  0.03726872]. ,0.251941634971,1.16776151885,35, [ 0.19280892  0.23347514]. ,1.20761866329,1.21783919921,35, [ 0.20617802  0.20788551]. ,1.22003161619,1.22003161619,35, [ 0.24464948  0.24058483]. ,1.18201265793,1.21988776397,35, [ 0.21568603  0.20607878]. ,1.21851816395,1.21995751344
36, [ 0.20614714  0.2079736 ]. ,1.22003210546,1.22003246621,36, [ 0.48684858  0.60725821]. ,0.225793309623,1.16776151885,36, [ 0.23574367  0.23565516]. ,1.19551421302,1.21783919921,36, [ 0.24124434  0.20823181]. ,1.20090708569,1.22003161619,36, [ 0.1964096   0.20601353]. ,1.21859352301,1.21988776397,36, [ 0.22027843  0.22578006]. ,1.21237447912,1.21995751344
37, [ 0.20614857  0.20797314]. ,1.22003209744,1.22003246621,37, [ 0.46419587  0.79118669]. ,-0.0447663570393,1.16776151885,37, [ 0.50568281  0.5303569 ]. ,0.295623700612,1.21783919921,37, [ 0.25629238  0.1904135 ]. ,1.17646296154,1.22003161619,37, [ 0.24911832  0.20562151]. ,1.19132646596,1.21988776397,37, [ 0.1475054   0.19519725]. ,1.16981283507,1.21995751344
38, [ 0.20614596  0.20797418]. ,1.22003211248,1.22003246621,38, [ 0.60979258  0.52341383]. ,0.320857865548,1.16776151885,38, [ 0.23657153  0.22965305]. ,1.19905645184,1.21783919921,38, [ 0.20622297  0.20790582]. ,1.22003141925,1.22003161619,38, [ 0.18606961  0.18806263]. ,1.20875724566,1.21988776397,38, [ 0.17723514  0.16586379]. ,1.18469169702,1.21995751344
39, [ 0.20614208  0.20798684]. ,1.22003215828,1.22003246621,39, [ 0.45249985  0.74785722]. ,-0.0237617044287,1.16776151885,39, [ 0.16680883  0.17479188]. ,1.18389624024,1.21783919921,39, [ 0.8709676   0.34233408]. ,0.520046346396,1.22003161619,39, [ 0.20264297  0.22278457]. ,1.21661005443,1.21988776397,39, [ 0.20801207  0.24185385]. ,1.20302633465,1.21995751344
40, [ 0.20614567  0.20797268]. ,1.22003211034,1.22003246621,40, [ 0.86224737  0.82042856]. ,0.0712753594916,1.16776151885,40, [ 0.18170239  0.23278357]. ,1.20177250993,1.21783919921,40, [ 0.20618308  0.20792611]. ,1.22003176507,1.22003176507,40, [ 0.22147009  0.21508054]. ,1.21568506578,1.21988776397,40, [ 0.18985432  0.18856882]. ,1.21096437332,1.21995751344
41, [ 0.2061496   0.20797108]. ,1.22003208741,1.22003246621,41, [ 0.69736269  0.92405732]. ,0.100402876022,1.16776151885,41, [ 0.2246217   0.17975926]. ,1.20278232549,1.21783919921,41, [ 0.19128916  0.40740527]. ,0.772089835894,1.22003176507,41, [ 0.1627702   0.31921413]. ,1.02711577823,1.21988776397,41, [ 0.18699438  0.20844319]. ,1.21458193374,1.21995751344
42, [ 0.20615085  0.20797207]. ,1.22003208373,1.22003246621,42, [ 0.1187588   0.31034271]. ,0.986371258551,1.16776151885,42, [ 0.14221872  0.22312104]. ,1.15821155331,1.21783919921,42, [ 0.17076028  0.2268371 ]. ,1.19596981715,1.22003176507,42, [ 0.23629052  0.18071737]. ,1.1946603303,1.21988776397,42, [ 0.2282072   0.21030551]. ,1.21238800892,1.21995751344
43, [ 0.20615318  0.20797273]. ,1.2200320737,1.22003246621,43, [ 0.97376345  0.69335485]. ,0.0686049000075,1.16776151885,43, [ 0.2358365   0.39732403]. ,0.791764809948,1.21783919921,43, [ 0.23158299  0.18121804]. ,1.1991295684,1.22003176507,43, [ 0.17899689  0.21557663]. ,1.2081230331,1.21988776397,43, [ 0.17859232  0.22818336]. ,1.20244813811,1.21995751344
44, [ 0.20615026  0.20797113]. ,1.2200320843,1.22003246621,44, [ 0.27612278  0.89736162]. ,0.228337918703,1.16776151885,44, [ 0.2222266   0.19255843]. ,1.21229482576,1.21783919921,44, [ 0.22295001  0.18805857]. ,1.20955483526,1.22003176507,44, [ 0.21024503  0.19698629]. ,1.21792575785,1.21988776397,44, [ 0.24716957  0.25103444]. ,1.16759879761,1.21995751344
45, [ 0.19645072  0.        ]. ,0.852671412257,1.22003246621,45, [ 0.02318601  0.82521836]. ,0.313638968274,1.16776151885,45, [ 0.19491937  0.20886479]. ,1.2181541223,1.2181541223,45, [ 0.25218198  0.20371739]. ,1.18693247468,1.22003176507,45, [ 0.23011567  0.2657337 ]. ,1.16266220801,1.21988776397,45, [ 0.2192834   0.18977741]. ,1.21227287431,1.21995751344
46, [ 0.20588202  0.20787147]. ,1.22003193292,1.22003246621,46, [ 0.07341882  0.4491764 ]. ,0.596977453944,1.16776151885,46, [ 0.23909104  0.24252447]. ,1.18612162914,1.2181541223,46, [ 0.20617629  0.20821302]. ,1.22003168207,1.22003176507,46, [ 0.2006811   0.18192954]. ,1.20992979206,1.21988776397,46, [ 0.20746149  0.16965166]. ,1.1990202655,1.21995751344
47, [ 0.20590751  0.20787017]. ,1.22003199798,1.22003246621,47, [ 0.89085139  0.99400903]. ,0.0528241773957,1.16776151885,47, [ 0.20027604  0.14494934]. ,1.16583403989,1.2181541223,47, [ 0.24219589  0.16905775]. ,1.17762348597,1.22003176507,47, [ 0.31231406  0.20096654]. ,1.05597451471,1.21988776397,47, [ 0.2034714   0.21126225]. ,1.21977706814,1.21995751344
48, [ 0.205931    0.20787075]. ,1.22003204964,1.22003246621,48, [ 0.0714403   0.74382477]. ,0.330744420946,1.16776151885,48, [ 0.19090575  0.25250011]. ,1.18713995584,1.2181541223,48, [ 0.14637307  0.18892981]. ,1.16589417546,1.22003176507,48, [ 0.16842572  0.17690656]. ,1.18727770022,1.21988776397,48, [ 0.20368086  0.18253178]. ,1.2106270704,1.21995751344
49, [ 0.20594887  0.20786883]. ,1.22003206519,1.22003246621,49, [ 0.63130378  0.7030484 ]. ,0.156086761243,1.16776151885,49, [ 0.22242213  0.236556  ]. ,1.20404619917,1.2181541223,49, [ 0.24929535  0.22488678]. ,1.1873993259,1.22003176507,49, [ 0.18279031  0.23031657]. ,1.20428647014,1.21988776397,49, [ 0.21103925  0.20104371]. ,1.21889347768,1.21995751344
50, [ 0.20596438  0.20786913]. ,1.22003208111,1.22003246621,50, [ 0.86033247  0.74940203]. ,0.0857272370506,1.16776151885,50, [ 0.20562693  0.18184513]. ,1.21014900008,1.2181541223,50, [ 0.16256707  0.99551645]. ,0.244759278658,1.22003176507,50, [ 0.22694496  0.22876561]. ,1.20713926689,1.21988776397,50, [ 0.2054579   0.22282236]. ,1.21678716095,1.21995751344
51, [ 0.20597971  0.20787162]. ,1.22003210124,1.22003246621,51, [ 0.94990761  0.71881735]. ,0.0688059308192,1.16776151885,51, [ 0.20194342  0.17096795]. ,1.20042469807,1.2181541223,51, [ 0.2014615   0.23419443]. ,1.20950257166,1.22003176507,51, [ 0.21024277  0.2356397 ]. ,1.20850527174,1.21988776397,51, [ 0.21245878  0.21126013]. ,1.21925376003,1.21995751344
52, [ 0.20599294  0.20787379]. ,1.22003211287,1.22003246621,52, [ 0.40524633  0.56951772]. ,0.297823919945,1.16776151885,52, [ 0.22105281  0.20141592]. ,1.21582676904,1.2181541223,52, [ 0.19972828  0.24231061]. ,1.20190964178,1.22003176507,52, [ 0.16912818  0.20496788]. ,1.1999314287,1.21988776397,52, [ 0.24114498  0.22955947]. ,1.19454620591,1.21995751344
53, [ 0.20600089  0.20787597]. ,1.22003212173,1.22003246621,53, [ 0.76453203  0.93545616]. ,0.0826397317848,1.16776151885,53, [ 0.16269354  0.21407491]. ,1.19177058357,1.2181541223,53, [ 0.20616665  0.20819263]. ,1.22003182292,1.22003182292,53, [ 0.22198209  0.19289419]. ,1.21257163401,1.21988776397,53, [ 0.1758959   0.26267097]. ,1.16254445524,1.21995751344
54, [ 0.20600527  0.20787715]. ,1.22003212562,1.22003246621,54, [ 0.22428704  0.81597667]. ,0.266578833523,1.16776151885,54, [ 0.21174109  0.19959258]. ,1.21843822563,1.21843822563,54, [ 0.22475004  0.19517462]. ,1.21202636845,1.22003182292,54, [ 0.23037954  0.20681131]. ,1.21083085734,1.21988776397,54, [ 0.21778891  0.19952024]. ,1.21675203459,1.21995751344
55, [ 0.20601417  0.20787786]. ,1.22003212311,1.22003246621,55, [ 0.14649893  0.2615896 ]. ,1.12784410959,1.16776151885,55, [ 0.22285731  0.22518715]. ,1.21146372046,1.21843822563,55, [ 0.00572093  0.6513199 ]. ,0.376169340023,1.22003182292,55, [ 0.21939577  0.17314611]. ,1.19948992235,1.21988776397,55, [ 0.20060289  0.20429451]. ,1.21940030259,1.21995751344
56, [ 0.2060216   0.20787893]. ,1.22003212158,1.22003246621,56, [ 0.02509736  0.23505943]. ,0.87295712841,1.16776151885,56, [ 0.24432884  0.22478164]. ,1.19360925148,1.21843822563,56, [ 0.12822995  0.26518088]. ,1.09047381166,1.22003182292,56, [ 0.15729661  0.23817356]. ,1.17147088847,1.21988776397,56, [ 0.21429283  0.22146176]. ,1.21637782263,1.21995751344
57, [ 0.20602979  0.20788281]. ,1.22003213135,1.22003246621,57, [ 0.67280169  0.1177903 ]. ,0.38699498418,1.16776151885,57, [ 0.19944016  0.24027536]. ,1.2038569433,1.21843822563,57, [ 0.22780076  0.19935013]. ,1.21147532923,1.22003182292,57, [ 0.24661958  0.2231156 ]. ,1.19160861724,1.21988776397,57, [ 0.19398751  0.2157805 ]. ,1.21689140787,1.21995751344
58, [ 0.20603224  0.20788299]. ,1.22003212901,1.22003246621,58, [ 0.39386622  0.37270951]. ,0.603926757768,1.16776151885,58, [ 0.21474649  0.42614848]. ,0.711420385447,1.21843822563,58, [ 0.78149024  0.15158791]. ,0.415903807208,1.22003182292,58, [ 0.10170529  0.12191153]. ,1.02012627146,1.21988776397,58, [ 0.24348922  0.21356086]. ,1.19805776925,1.21995751344
59, [ 0.20603928  0.20788597]. ,1.22003213321,1.22003246621,59, [ 0.02034394  0.4390246 ]. ,0.571098401694,1.16776151885,59, [ 0.2373618   0.22038644]. ,1.20283383479,1.21843822563,59, [ 0.23948871  0.22122151]. ,1.20042324378,1.22003182292,59, [ 0.19159157  0.19814522]. ,1.21560531018,1.21988776397,59, [ 0.2302065   0.19704798]. ,1.20906206216,1.21995751344
60, [ 0.20604303  0.20788776]. ,1.22003213572,1.22003246621,60, [ 0.1021211  0.188699 ]. ,1.07862642752,1.16776151885,60, [ 0.15840637  0.24795158]. ,1.16308467897,1.21843822563,60, [ 0.19392782  0.16167234]. ,1.18849578488,1.22003182292,60, [ 0.19180289  0.25179442]. ,1.18845414205,1.21988776397,60, [ 0.20887302  0.19020937]. ,1.21523259456,1.21995751344
61, [ 0.20604783  0.20788988]. ,1.22003213736,1.22003246621,61, [ 0.04914454  0.61654242]. ,0.390978294262,1.16776151885,61, [ 0.2122389   0.14040149]. ,1.1571012378,1.21843822563,61, [ 0.97945076  0.79723958]. ,0.0491738613111,1.22003182292,61, [ 0.20013645  0.21403859]. ,1.21895355397,1.21988776397,61, [ 0.19873369  0.19560928]. ,1.21706022742,1.21995751344
